phoneme,feature
E,lower
E,mid
E,front
E,unrounded
E~,nasalized
E~,lower
E~,mid
E~,front
E~,unrounded
O,lower
O,mid
O,back
O,rounded
^,lower
^,mid
^,back
^,unrounded
^~,nasalized
^~,lower
^~,mid
^~,back
^~,unrounded
a,low
a,central
a,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
e,higher
e,mid
e,front
e,unrounded
i,high
i,front
i,unrounded
i~,nasalized
i~,high
i~,front
i~,unrounded
o,higher
o,mid
o,back
o,rounded
o(,higher
o(,mid
o(,back
o(,unrounded
o~,nasalized
o~,higher
o~,mid
o~,back
o~,rounded
u,high
u,back
u,rounded
uu,high
uu,back
uu,unrounded
uu~,nasalized
uu~,high
uu~,back
uu~,unrounded
u~,nasalized
u~,high
u~,back
u~,rounded
