phoneme,feature
I,lowered
I,high
I,front
I,unrounded
U,lowered
U,high
U,back
U,rounded
xx@,mid
xx@,central
xx@,unrounded
xx@:,long
xx@:,mid
xx@:,central
xx@:,unrounded
xxe,mid
xxe,front
xxe,unrounded
xxo,mid
xxo,back
xxo,rounded
a+,low
a+,front
a+,unrounded
a:,long
a:,low
a:,central
a:,unrounded
a_,low
a_,back
a_,unrounded
aa:,long
aa:,raised
aa:,low
aa:,front
aa:,unrounded
e:,long
e:,higher
e:,mid
e:,front
e:,unrounded
i:,long
i:,high
i:,front
i:,unrounded
o:,long
o:,higher
o:,mid
o:,back
o:,rounded
u:,long
u:,high
u:,back
u:,rounded
